epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
79,3890.17,0.81576,1.58626,0.81736,0.0089,0.54794,0.72709,0.76869,0.79694,0.64075,0.6385,0.65892,0.65988,0.46711,0.93481,1.55502,0.80033,0.0142,0,9.49926e-05,9.49926e-05,9.49926e-05
80,3936.87,0.81161,1.59981,0.79393,0.00859,0.52715,0.73672,0.75934,0.79747,0.64892,0.71144,0.65399,0.66918,0.48327,0.91783,1.53073,0.76241,0.01377,0,9.08643e-05,9.08643e-05,9.08643e-05
81,3983.02,0.83696,1.74043,0.87491,0.00922,0.58861,0.85415,0.72846,0.79996,0.64206,0.76106,0.63671,0.66693,0.48359,0.92286,1.56351,0.74116,0.01397,0,8.6736e-05,8.6736e-05,8.6736e-05
82,4030.95,0.8514,1.65679,0.82176,0.00877,0.56145,0.73614,0.76423,0.79909,0.65333,0.64865,0.66121,0.66525,0.48724,0.90212,1.55395,0.75709,0.01317,0,8.26077e-05,8.26077e-05,8.26077e-05
83,4082.18,0.85788,1.70098,0.86092,0.00916,0.57085,0.84284,0.71954,0.79034,0.64367,0.73964,0.62974,0.65646,0.47949,0.915,1.58995,0.75974,0.01383,0,7.84794e-05,7.84794e-05,7.84794e-05
84,4129.58,0.83072,1.62523,0.80657,0.00849,0.56486,0.86474,0.7098,0.7922,0.6435,0.74732,0.63214,0.6637,0.48111,0.9121,1.57869,0.74932,0.01383,0,7.43511e-05,7.43511e-05,7.43511e-05
85,4175.3,0.82315,1.62358,0.8037,0.00878,0.57062,0.86553,0.71447,0.7988,0.64969,0.76704,0.62854,0.67021,0.47844,0.90738,1.55407,0.76321,0.01354,0,7.02228e-05,7.02228e-05,7.02228e-05
86,4222.29,0.83437,1.69293,0.80401,0.00865,0.57097,0.88905,0.70183,0.7977,0.65319,0.77426,0.62454,0.66612,0.48404,0.91343,1.56516,0.75281,0.01343,0,6.60945e-05,6.60945e-05,6.60945e-05
87,4272.3,0.82819,1.56889,0.77536,0.00789,0.51387,0.86802,0.71645,0.79841,0.65549,0.7717,0.62849,0.66559,0.48964,0.90007,1.55557,0.75101,0.01334,0,6.19662e-05,6.19662e-05,6.19662e-05
88,4320.64,0.80689,1.64183,0.80393,0.00901,0.51899,0.88511,0.71649,0.79742,0.6528,0.79162,0.63079,0.6684,0.49346,0.90609,1.54969,0.77178,0.01329,0,5.78379e-05,5.78379e-05,5.78379e-05
